t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
2222.75,0.854004,-0.15625,0.994141,-1.34277,-0.366211,-7.14111,0
2222.75,0.847656,-0.171875,0.995117,-0.488281,-0.12207,-7.38525,0
2222.76,0.869629,-0.0654297,1.00195,-0.732422,0.12207,-7.56836,0
2222.77,0.868164,-0.170898,0.98877,-1.0376,0.305176,-7.8125,0
2222.78,0.839844,-0.202148,0.97168,-0.244141,0.427246,-8.05664,0
2222.79,0.859375,-0.0913086,0.948242,-0.244141,0.488281,-8.36182,0
2222.8,0.835449,-0.162598,0.949219,-0.793457,0.610352,-8.60596,0
2222.81,0.814941,-0.191406,0.918457,-0.244141,0.488281,-8.78906,0
2222.82,0.821289,-0.0991211,0.916016,-0.183105,0.366211,-9.0332,0
2222.83,0.835449,-0.155762,0.90918,-0.793457,0.12207,-9.39941,0
2222.84,0.841309,-0.181152,0.898926,-0.488281,-0.0610352,-9.70459,0
2222.85,0.82373,-0.120605,0.933105,-0.793457,-0.244141,-9.8877,1
2222.86,0.820312,-0.151367,0.950195,-1.28174,-0.488281,-10.2539,1
2222.87,0.835449,-0.17041,0.935059,-1.09863,-0.793457,-10.437,1
2222.88,0.815918,-0.144531,0.962402,-1.2207,-1.15967,-10.6201,1
2222.89,0.830078,-0.178223,0.988281,-1.40381,-1.34277,-10.8643,1
2222.9,0.815918,-0.202148,0.988281,-1.09863,-1.52588,-11.0474,1
2222.91,0.836426,-0.148438,1.00195,-1.0376,-1.58691,-11.2305,1
2222.92,0.839355,-0.185547,1.00977,-1.34277,-1.58691,-11.4136,1
2222.93,0.824219,-0.226074,0.987793,-0.854492,-1.58691,-11.5356,1
2222.94,0.827148,-0.168457,1.00732,-0.610352,-1.70898,-11.5967,1
2222.95,0.810547,-0.23584,1.05518,-0.549316,-1.58691,-11.7798,1
2222.96,0.808594,-0.240234,1.05615,0.0610352,-1.70898,-11.9019,1
2222.97,0.832031,-0.208008,1.05518,0.0610352,-1.70898,-12.085,1
2222.98,0.838867,-0.279785,1.04053,0.12207,-1.58691,-12.207,1
2222.99,0.817383,-0.234375,1.04883,0.671387,-1.52588,-12.5122,1
2223,0.834473,-0.229492,1.0708,-0.244141,-1.40381,-12.7563,1
2223.01,0.830078,-0.30127,1.07373,-0.366211,-1.28174,-13.1226,1
2223.02,0.819336,-0.178711,1.07275,-0.427246,-1.09863,-13.3667,1
2223.03,0.827637,-0.225586,1.03613,-1.52588,-0.915527,-13.855,1
2223.04,0.821289,-0.296875,1.03662,-1.40381,-0.854492,-14.1602,1
2223.05,0.81543,-0.179199,1.10938,-1.83105,-0.671387,-14.5874,1
