run,pasm_mode,t_s,a_lat_kin_g,roll_angle_deg
1,Normal,642.495,-0.718952,-4.51511
1,Normal,642.535,-0.728832,-4.39287
1,Normal,642.575,-0.737528,-4.12381
1,Normal,642.615,-0.744935,-3.92863
1,Normal,642.655,-0.748854,-3.89019
1,Normal,642.695,-0.750331,-3.92021
1,Normal,642.735,-0.747502,-4.17533
1,Normal,642.775,-0.741561,-4.48698
1,Normal,642.815,-0.733782,-4.65317
1,Normal,642.855,-0.72313,-4.84817
1,Normal,642.895,-0.713313,-5.04535
1,Normal,642.935,-0.708209,-4.74309
1,Normal,642.975,-0.707219,-3.90455
1,Normal,643.015,-0.708703,-3.06767
1,Normal,643.055,-0.712736,-2.26366
1,Normal,643.095,-0.718318,-1.5215
1,Normal,643.135,-0.722464,-1.28421
2,Sport+,1006.52,-0.654566,-2.42495
2,Sport+,1006.56,-0.659733,-1.74683
2,Sport+,1006.68,-0.700919,-3.80698
2,Sport+,1006.72,-0.708949,-4.65203
2,Sport+,1006.76,-0.714422,-4.84413
2,Sport+,1006.8,-0.719606,-4.42529
2,Sport+,1006.84,-0.721891,-3.71961
2,Sport+,1006.88,-0.722142,-3.02127
2,Sport+,1006.92,-0.718501,-2.77878
2,Sport+,1006.96,-0.714452,-3.01623
2,Sport+,1007,-0.710796,-3.56854
2,Sport+,1007.04,-0.707695,-4.03
2,Sport+,1007.08,-0.708721,-4.0822
2,Sport+,1007.12,-0.707555,-4.03257
2,Sport+,1007.16,-0.708253,-3.76613
2,Sport+,1007.2,-0.712864,-3.44645
2,Sport+,1007.24,-0.719803,-3.10795
2,Sport+,1007.28,-0.726281,-2.91144
2,Sport+,1007.32,-0.731773,-2.94052
2,Sport+,1007.36,-0.735969,-3.04296
2,Sport+,1007.4,-0.736662,-3.28613
2,Sport+,1007.44,-0.734388,-3.47373
2,Sport+,1007.48,-0.729175,-3.81976
2,Sport+,1007.52,-0.720161,-3.76142
2,Sport+,1007.56,-0.710953,-3.60054
2,Sport+,1007.6,-0.70294,-3.3103
2,Sport+,1008.96,1.04665,-2.76599
2,Sport+,1009,1.05167,-1.7062
2,Sport+,1009.04,1.04486,-1.71817
